Name,Location,State,Rank,Tuition and fees,Undergrad Enrollment
Boston College,Chestnut Hill, MA,31,"$51,296","9,192.00"
College of William & Mary,Williamsburg, VA,32,"$41,718","6,301.00"
University of Rochester,Rochester, NY,32,"$50,142","6,304.00"
Brandeis University,Waltham, MA,34,"$51,570","3,621.00"
Georgia Institute of Technology,Atlanta, GA,34,"$32,404","15,142.00"
New York University,New York, NY,36,"$49,062","25,722.00"
Case Western Reserve University,Cleveland, OH,37,"$46,006","5,121.00"
University of California--Santa Barbara,Santa Barbara, CA,37,"$40,704","20,607.00"
Boston University,Boston, MA,39,"$50,240","17,932.00"
Northeastern University,Boston, MA,39,"$47,655","13,697.00"
Rensselaer Polytechnic Institute,Troy, NY,39,"$50,797","5,864.00"
Tulane University,New Orleans, LA,39,"$51,010","6,662.00"
University of California--Irvine,Irvine, CA,39,"$39,458","25,256.00"
Lehigh University,Bethlehem, PA,44,"$48,320","5,075.00"
University of California--Davis,Davis, CA,44,"$40,728","28,384.00"
University of California--San Diego,La Jolla, CA,44,"$41,387","26,590.00"
University of Illinois--Urbana-Champaign,Champaign, IL,44,"$31,320","33,368.00"
University of Miami,Coral Gables, FL,44,"$47,004","11,122.00"
University of Wisconsin--Madison,Madison, WI,44,"$32,738","31,662.00"
Pepperdine University,Malibu, CA,50,"$50,022","3,533.00"
University of Florida,Gainesville, FL,50,"$28,666","35,043.00"
Villanova University,Villanova, PA,50,"$49,280","6,994.00"
Pennsylvania State University--University Park,University Park, PA,50,"$32,382","40,742.00"
Ohio State University--Columbus,Columbus, OH,54,"$29,229","45,289.00"
University of Washington,Seattle, WA,54,"$34,791","31,063.00"
George Washington University,Washington, DC,56,"$51,950","11,157.00"
Southern Methodist University,Dallas, TX,56,"$50,358","6,411.00"
University of Georgia,Athens, GA,56,"$29,844","27,547.00"
University of Texas--Austin,Austin, TX,56,"$34,676","39,619.00"
Fordham University,New York, NY,60,"$47,317","8,855.00"
Purdue University--West Lafayette,West Lafayette, IN,60,"$28,804","29,497.00"
Syracuse University,Syracuse, NY,60,"$45,022","15,196.00"
University of Connecticut,Storrs, CT,60,"$35,858","18,826.00"
University of Maryland--College Park,College Park, MD,60,"$32,045","27,443.00"
Worcester Polytechnic Institute,Worcester, MA,60,"$46,994","4,299.00"
Clemson University,Clemson, SC,66,"$32,796","18,016.00"
Yeshiva University,New York, NY,66,"$40,670","2,744.00"
Brigham Young University--Provo,Provo, UT,68,"$5,300","30,221.00"
University of Pittsburgh,Pittsbargh, PA,68,"$29,758","18,908.00"
Rutgers University--New Brunswick,Piscataway, NJ,70,"$30,023","35,484.00"
Baylor University,Waco, TX,71,"$42,006","14,189.00"
Stevens Institute of Technology,Hoboken, NJ,71,"$48,838","2,873.00"
University of Minnesota--Twin Cities,Minneapolis, MN,71,"$22,210","34,071.00"
American University,Washington, DC,74,"$44,853","7,909.00"
Clark University,Worcester, MA,74,"$43,150","2,397.00"
Texas A&M University--College Station,College Station, TX,74,"-$28,768","48,960.00"
University of Massachusetts--Amherst,Amherst, MA,74,"$30,123","22,748.00"
Virginia Tech,Blacksburg, VA,74,"$29,371","25,384.00"
Miami University--Oxford,Oxford, OH,79,"$31,592","16,387.00"
University of California--Santa Cruz,Santa Cruz, CA,79,"$40,241","16,231.00"
University of Delaware,Newark, DE,79,"$31,420","18,322.00"
Colorado School of Mines,Golden, CO,82,"$34,828","4,608.00"
Michigan State University,East Lansing, MI,82,"$39,090","39,143.00"
Texas Christian University,Fort Worth, TX,82,"$42,670","8,894.00"
University of Iowa,Iowa City, IA,82,"$28,413","23,357.00"
Binghamton University--SUNY,Binghamton, NY,86,"$22,164","13,491.00"
Indiana University--Bloomington,Bloomington, IN,86,"$34,246","38,364.00"
Marquette University,Milwaukee, WI,86,"$38,470","8,334.00"
University of Denver,Denver, CO,86,"$46,362","5,758.00"
University of San Diego,San Diego, CA,86,"$46,140","5,647.00"
University of Tulsa,Tulsa, OK,86,"$38,796","3,478.00"
Florida State University,Tallahassee, FL,92,"$24,673","32,706.00"
North Carolina State University--Raleigh,Raleigh, NC,92,"$26,399","24,111.00"
University of Colorado--Boulder,Boulder, CO,92,"$35,079","27,010.00"
University of Vermont,Burlington, VT,92,"$40,364","10,973.00"
Drexel University,Philadelphia, PA,96,"$51,030","14,138.00"
Saint Louis University,St. Louis, MO,96,"$40,726","8,248.00"
Stony Brook University--SUNY,Stony Brook, NY,96,"$26,266","16,831.00"
Auburn University,Auburn, AL,99,"$28,840","21,786.00"
Loyola University Chicago,Chicago, IL,99,"$41,384","11,079.00"
SUNY College of Environmental Science and Forestry,Syracuse, NY,99,"$17,620","1,839.00"
University at Buffalo--SUNY,Buffalo, NY,99,"$26,270","19,951.00"
Illinois Institute of Technology,Chiago, IL,103,"$45,214","2,991.00"
University of Alabama,Tuscaloosa, AL,103,"$26,950","31,958.00"
University of Oregon,Eugene, OR,103,"$33,442","20,538.00"
University of Tennessee,Knoxville, TN,103,"$30,858","21,863.00"
Rochester Institute of Technology,Rochester, NY,107,"$38,568","12,607.00"
University of New Hampshire,Durham, NH,107,"$31,424","13,034.00"
University of San Francisco,San Francisco, CA,107,"$44,494","6,782.00"
University of South Carolina,Columbia, SC,107,"$31,282","25,237.00"
Iowa State University,Ames, IA,111,"$21,483","30,034.00"
University of Dayton,Dayton, OH,111,"$40,940","8,665.00"
University of Missouri,Columbia, MO,111,"$25,892","27,812.00"
University of Nebraska--Lincoln,Lincoln, NE,111,"$23,148","20,182.00"
University of Oklahoma,Norman, OK,111,"$21,451","22,132.00"
University of the Pacific,Stockton, CA,111,"$44,588","3,735.00"
University of Utah,Salt Lake City, UT,111,"$27,039","23,794.00"
Michigan Technological University,Houghton, MI,118,"$30,968","5,721.00"
Seton Hall University,South Orange, NJ,118,"$39,258","6,090.00"
Temple University,Philadelphia, PA,118,"$25,994","28,609.00"
University of California--Riverside,Riverside, CA,118,"$40,263","18,608.00"
University of Kansas,Lawrence, KS,118,"$25,932",
University of St. Thomas,St. Paul, MN,118,"$39,594","6,240.00"
The Catholic University of America,Washington, DC,124,"$42,536","3,480.60"
DePaul University,Chicago, IL,124,"$37,626","15,961.00"
Duquesne University,Pittsburgh, PA,124,"$35,062","5,961.00"
Howard University,Washington, DC,124,"$24,908","6,883.00"
University of Arizona,Tucson, AZ,124,"$30,025","33,732.00"
Arizona State University--Tempe,Tempe, AZ,129,"$25,458","41,828.00"
Clarkson University,Potsdam, NY,129,"$46,132","3,257.00"
Colorado State University,Fort Collins, CO,129,"$28,374","24,433.00"
New School,New York, NY,129,"$45,535","6,792.50"
Hofstra University,Hempstead, NY,133,"$42,160","6,824.00"
University of Kentucky,Lexington, KY,133,"$26,334","22,705.00"
Kansas State University,Manhattan, KS,135,"$23,429","19,859.00"
Louisiana State University--Baton Rouge,Baton Rouge, LA,135,"$27,005","26,156.00"
Mercer University,Macon, GA,135,"$35,130","4,667.00"
New Jersey Institute of Technology,Newark, NJ,135,"$30,326","8,008.00"
Rutgers University--Newark,Newark, NJ,135,"$29,480","7,713.00"
University of Arkansas,Fayetteville, AR,135,"$23,168","22,159.00"
University of Cincinnati,Cincinnati, OH,135,"$26,334","25,054.00"
University of Mississippi,University, MS,135,"$22,012","18,785.00"
George Mason University,Fairfax, VA,143,"$32,582","23,062.00"
Oregon State University,Corvallis, OR,143,"$28,846","24,612.00"
Washington State University,Pullman, WA,143,"$25,673","24,470.00"
Adelphi University,Garden City, NY,146,"$34,034","4,852.00"
Ohio University,Athens, OH,146,"$21,208","23,513.00"
San Diego State University,San Diego, CA,146,"$18,244","29,234.00"
St. John Fisher College,Rochester, NY,146,"$31,880","2,805.00"
University at Albany--SUNY,Albany, NY,146,"$22,244","12,908.00"
University of Texas--Dallas,Richardson, TX,146,"$33,654","15,575.00"
Illinois State University,Normal, IL,152,"$20,886",
Immaculata University,Immaculata, PA,152,"$35,210","1,790.00"
Oklahoma State University,Stillwater, OK,152,"$20,978","21,046.00"
University of California--Merced,Merced, CA,152,,"6,237.00"
University of Illinois--Chicago,Chicago, IL,152,"$26,526","17,575.00"
University of La Verne,La Verne, CA,152,"$39,900","2,864.00"
University of Massachusetts--Lowell,Lowell, MA,152,"$29,125","13,266.00"
Seattle Pacific University,Seattle, WA,159,"$38,940","3,202.00"
University of Alabama--Birmingham,Birmingham, AL,159,"$17,654","11,511.00"
University of Maryland--Baltimore County,Baltimore, MD,159,"$24,492","11,243.00"
University of Rhode Island,Kingston, RI,159,"$28,852","13,641.00"
University of South Florida,Tampa, FL,159,"$17,325","31,111.00"
Biola University,La Mirada, CA,164,"$36,696","4,225.00"
Maryville University of St. Louis,St Louis, MO,164,,"2,795.00"
Missouri University of Science & Technology,Rolla, MO,164,"$26,152","6,841.00"
St. John's University,Queens, NY,164,"$39,460","16,210.00"
Virginia Commonwealth University,Richmond, VA,164,"$31,608","24,051.00"
Union University,Jackson, TN,169,"$30,420","2,829.00"
University of Hawaii--Manoa,Honolulu, HI,169,"$33,764","13,689.00"
Edgewood College,Madison, WI,171,"$27,530",
Florida Institute of Technology,Melbourne, FL,171,"$40,446","3,586.00"
University of Idaho,Moscow, ID,171,"$22,040","9,116.00"
University of Louisville,Louisville, KY,171,"$24,626","15,769.00"
University of Wyoming,Laramie, WY,171,"$16,215","10,045.00"
Ball State University,Muncie, IN,176,"$25,428","16,602.00"
Lipscomb University,Nashville, TN,176,,"3,030.00"
Mississippi State University,Mississippi State, MS,176,"$20,142","17,421.00"
Montclair State University,Montclair, NJ,176,"$20,318","16,336.00"
Texas Tech University,Lubbock, TX,176,"$22,861","29,237.00"
University of Central Florida,Orlando, FL,176,"$22,467","54,513.00"
University of New Mexico,Albuquerque, NM,176,"$21,302","20,522.00"
Andrews University,Berrien Springs, MI,183,"$27,684","1,733.00"
Azusa Pacific University,Azusa, CA,183,"$36,120","5,883.00"
University of Maine,Orono, ME,183,"$29,498","9,297.00"
West Virginia University,Morgantown, WV,183,"$21,432","22,498.00"
Widener University,Chester, PA,183,"$42,870","3,554.00"
Kent State University,Kent, OH,188,"$18,376","23,607.00"
North Dakota State University,Fargo, ND,188,"$19,790","12,037.00"
Pace University,New York, NY,188,"$42,772","8,747.00"
Robert Morris University,Moon Township, PA,188,"$28,250","4,497.00"
Suffolk University,Boston, MA,188,"$35,578","5,565.00"
University of Hartford,West Hartford, CT,188,"$37,790","5,246.00"
Bowling Green State University,Bowling Green, OH,194,"$18,332","14,334.00"
University of Houston,Houston, TX,194,"$25,410","34,716.00"
Western Michigan University,Kalamazoo, MI,194,"$25,713","18,567.00"
Indiana University-Purdue University--Indianapolis,Indianapolis, IN,197,"$29,791","21,985.00"
Lesley University,Cambridge, MA,197,"$25,750","1,520.00"
University of Alabama--Huntsville,Huntsville, AL,197,"$20,622","6,013.00"
University of Colorado--Denver,Denver, CO,197,"$29,334","14,036.00"
University of Nevada--Reno,Reno, NV,197,"$21,052","17,770.00"
California State University--Fullerton,Fullerton, CA,202,"$17,596","33,144.00"
Central Michigan University,Mount Pleasant, MI,202,"$23,670","20,498.00"
Louisiana Tech University,Ruston, LA,202,"$25,851","10,682.00"
South Dakota State University,Brookings, SD,202,"$11,403","11,007.00"
University of Alaska--Fairbanks,Fairbanks, AK,202,"$22,469",
University of North Carolina--Charlotte,Charlotte, NC,202,"$20,193","22,732.00"
University of North Dakota,Grand Forks, ND,202,"$18,899","11,577.00"
University of South Dakota,Vermillion, SD,202,"$11,688","7,435.00"
East Carolina University,Greenville, NC,210,"$22,904","23,039.00"
Montana State University,Bozeman, MT,210,"$23,042","13,707.00"
Old Dominion University,Norfolk, VA,210,"$27,028","20,101.00"
University of Missouri--Kansas City,Kansas City, MO,210,"$22,714","11,253.00"
Ashland University,Ashland, OH,214,"$20,392","3,716.00"
Dallas Baptist University,Dallas, TX,214,"$26,180","3,315.00"
Northern Illinois University,DeKalb, IL,214,"$23,799","15,027.00"
Nova Southeastern University,Ft. Lauderdale, FL,214,"$27,660","4,641.00"
Southern Illinois University--Carbondale,Carbondale, IL,214,"$27,130","13,031.00"
University of Montana,Missoula, MT,214,"$24,562","8,732.00"
Benedictine University,Lisle, IL,220,"$32,170","3,347.00"
California State University--Fresno,Fresno, CA,220,"$17,209","21,482.00"
Gardner-Webb University,Boiling Springs, NC,220,"$29,850","2,615.00"
New Mexico State University,Las Cruces, NM,220,"$21,234","12,526.00"
Shenandoah University,Winchester, VA,220,"$31,322","2,010.00"
Tennessee Technological University,Cookeville, TN,220,"$24,800","9,801.00"
University of Massachusetts--Boston,Boston, MA,220,"$32,023","12,949.00"
University of Massachusetts--Dartmouth,North Dartmouth, MA,220,"$19,270","7,295.00"
University of Missouri--St. Louis,St. Louis, MO,220,"$26,277",
University of North Carolina--Greensboro,Greensboro, NC,220,"$100,000","15,951.00"
University of Southern Mississippi,Hattiesburg, MS,220,"$16,094","11,840.00"
Utah State University,Logan, UT,220,"$19,772","25,259.00"
